"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|DK1","3357.00","3339.01"
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|DK1","3522.00","3563.98"
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|DK1","3372.00","3343.63"
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|DK1","3057.00","3034.07"
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|DK1","2801.00","2796.43"
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|DK1","2634.00","2701.21"
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|DK1","2469.00","2584.59"
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|DK1","2312.00","2379.14"
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|DK1","2297.00","2383.19"
"12/01/2021 01:00:00 - 12/01/2021 02:00:00","BZN|DK1","2276.00","2320.47"
"12/01/2021 02:00:00 - 12/01/2021 03:00:00","BZN|DK1","2323.00","2384.98"
"12/01/2021 03:00:00 - 12/01/2021 04:00:00","BZN|DK1","2379.00","2429.10"
"12/01/2021 04:00:00 - 12/01/2021 05:00:00","BZN|DK1","2436.00","2389.58"
"12/01/2021 05:00:00 - 12/01/2021 06:00:00","BZN|DK1","2534.00","2511.29"
"12/01/2021 06:00:00 - 12/01/2021 07:00:00","BZN|DK1","2771.00","2775.09"
"12/01/2021 07:00:00 - 12/01/2021 08:00:00","BZN|DK1","3090.00","3204.16"
"12/01/2021 08:00:00 - 12/01/2021 09:00:00","BZN|DK1","3322.00","3332.13"
"12/01/2021 09:00:00 - 12/01/2021 10:00:00","BZN|DK1","3220.00","3251.88"
"12/01/2021 10:00:00 - 12/01/2021 11:00:00","BZN|DK1","3290.00","3280.41"
"12/01/2021 11:00:00 - 12/01/2021 12:00:00","BZN|DK1","3243.00","3244.36"
"12/01/2021 12:00:00 - 12/01/2021 13:00:00","BZN|DK1","3157.00","3198.40"
"12/01/2021 13:00:00 - 12/01/2021 14:00:00","BZN|DK1","3200.00","3233.65"
"12/01/2021 14:00:00 - 12/01/2021 15:00:00","BZN|DK1","3192.00","3225.37"
