"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|DK1","Without sequence","44.9",""
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|DK1","Without sequence","39.59",""
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|DK1","Without sequence","37.78",""
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|DK1","Without sequence","35.43",""
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|DK1","Without sequence","37.29",""
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|DK1","Without sequence","41.41",""
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|DK1","Without sequence","42.78",""
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|DK1","Without sequence","50.34",""
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|DK1","Without sequence","57.25",""
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|DK1","Without sequence","49.62",""
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|DK1","Without sequence","47.57",""
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|DK1","Without sequence","44.64",""
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|DK1","Without sequence","43.33",""
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|DK1","Without sequence","42.61",""
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|DK1","Without sequence","42.05",""
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|DK1","Without sequence","42.31",""
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|DK1","Without sequence","43.28",""
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|DK1","Without sequence","44.98",""
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|DK1","Without sequence","42.93",""
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|DK1","Without sequence","39.71",""
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|DK1","Without sequence","37.11",""
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|DK1","Without sequence","34.24",""
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|DK1","Without sequence","34.01",""
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|DK1","Without sequence","27.39",""
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|DK1","Without sequence","18.96",""
"12/01/2021 01:00:00 - 12/01/2021 02:00:00","BZN|DK1","Without sequence","15.82",""
"12/01/2021 02:00:00 - 12/01/2021 03:00:00","BZN|DK1","Without sequence","19.0",""
"12/01/2021 03:00:00 - 12/01/2021 04:00:00","BZN|DK1","Without sequence","24.14",""
"12/01/2021 04:00:00 - 12/01/2021 05:00:00","BZN|DK1","Without sequence","27.0",""
"12/01/2021 05:00:00 - 12/01/2021 06:00:00","BZN|DK1","Without sequence","35.94",""
"12/01/2021 06:00:00 - 12/01/2021 07:00:00","BZN|DK1","Without sequence","40.96",""
"12/01/2021 07:00:00 - 12/01/2021 08:00:00","BZN|DK1","Without sequence","54.51",""
